participant,half,segment_left_shoulder_right_shoulder,segment_left_hip_right_hip,segment_left_shoulder_left_elbow,segment_right_shoulder_right_elbow,segment_left_elbow_left_wrist,segment_right_elbow_right_wrist,segment_left_hip_left_knee,segment_right_hip_right_knee,segment_left_knee_left_ankle,segment_right_knee_right_ankle,segment_left_shoulder_left_hip,segment_right_shoulder_right_hip,mean_angle_L.Elbow,mean_angle_R.Elbow,mean_angle_L.Shoulder,mean_angle_R.Shoulder,mean_angle_L.Hip,mean_angle_R.Hip,mean_angle_L.Knee,mean_angle_R.Knee,mean_angle_L.Distal arm,mean_angle_R.Distal arm,mean_angle_L.Distal leg,mean_angle_R.Distal leg,mean_angle_Head/Neck
P21,first,123.352,80.5275,72.1173,79.9266,85.8096,80.6042,98.0239,87.9976,169.818,159.893,145.411,136.475,79.0484,78.3318,31.546,18.1655,127.663,136.72,149.072,121.301,51.4418,52.2802,10.7556,17.0345,167.406
P22,first,103.92,77.108,87.4045,84.4678,57.8371,60.0097,94.5673,69.1478,135.239,147.646,133.862,127.648,87.4453,87.9945,27.0475,9.33792,175.456,126.332,166.933,156.865,64.9117,63.1658,5.27987,7.33249,161.24
P23,first,135.401,90.5446,43.6044,69.8527,103.456,105.539,107.344,112.738,155.598,161.909,142.39,129.129,74.7016,64.0152,50.0608,44.1678,173.633,159.921,156.27,167.313,36.6423,45.4752,9.4558,5.06755,166.37
P24,first,134.877,88.0333,94.7471,95.5435,84.9199,73.3973,83.6323,100.116,173.484,154.609,150.101,137.694,65.0636,50.9098,67.561,60.3136,168.197,143.783,155.765,143.362,59.0454,85.0236,7.69927,9.52116,168.616
P25,first,113.774,74.8109,85.9965,79.4158,53.8121,46.8116,103.711,27.618,154.035,164.778,136.354,120.828,113.34,116.011,17.3262,16.9479,143.864,160.455,135.949,152.046,41.9001,41.3592,17.2521,3.95898,171.681
P26,first,118.599,86.0614,82.4639,79.7846,66.7957,69.4954,74.8739,74.9315,148.654,148.89,121.492,125.695,116.456,122.413,15.6135,25.3505,175.177,158.905,169.232,148.094,35.5113,32.1716,4.3783,11.8459,161.753
P27,first,115.667,67.1601,87.1007,79.5515,63.6576,39.9072,76.1535,67.8995,159.745,152.459,130.44,130.806,91.4228,104.993,21.5565,28.8944,165.921,88.3956,149.407,18.157,53.5203,50.8332,9.7265,13.3624,172.834
P28,first,147.812,89.9211,110.27,107.033,78.5608,56.74,101.078,114.2,154.977,167.883,154.353,149.342,136.764,143.794,9.00445,16.9555,151.638,126.291,157.8,118.455,25.612,25.0837,8.53051,25.2624,165.172
P29,first,126.043,85.2524,87.4801,84.6571,75.9031,57.0621,82.2597,92.81,159.275,155.62,128.881,128.569,141.256,149.602,6.70767,12.3701,171.772,142.943,154.969,151.314,21.4134,18.6155,9.49148,11.0927,172.472
P30,first,141.312,101.765,82.4363,81.2098,60.9642,49.0897,75.1327,44.6583,152.306,173.458,157.878,154.172,131.387,162.72,13.4166,13.1657,65.9276,155.73,112.885,157.214,28.0044,11.5912,19.4894,4.57706,168.657
P31,first,163.563,88.4385,111.289,104.693,106.968,98.531,103.16,122.761,152.72,176.453,173.504,171.236,125.057,115.534,22.4466,38.7641,170.297,134.003,152.444,113.22,25.3447,26.1722,11.352,27.0629,150.985
